Count,ADUser,ADPassword,TargetVM,FrameEmail,FrameToken
1,Loginvsi1,Password!,FRAME-7756D9EF,testframe001@fra.me,eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbSI6ImRybXBlcmYtdnNpLXRlc3RmcmFtZTAwMUBmcmEubWUiLCJhdWQiOiJodHRwczovL2ZyYW1lLm51dGFuaXguY29tIiwiYXAiOiJmcmFtZS1wYXNzd29yZCIsImlzcyI6ImltZy1rZHMucHViIiwibG4iOiJUZXN0IiwianRpIjoxNTg1NjAxMywiZXhwIjoxODc3OTM2OTAxLCJuYmYiOjE1NjI1NzY5MDEsImZuIjoiRnJhbWUiLCJzdWIiOiI0MmMzZGZiZC0yNGVhLTQ2ODUtOGQ0Yi00ZDQ1OTdmNzM1MmQifQ.xh81H2CfyplHgGOPjz2HGMAs5Z6RhEfFcdMNQWFHymxX7E0k1jpgzXMCiwCMTQrsCDemN5irP5AacJrsMNYmIQ
2,Loginvsi2,Password!,FRAME-951B9467,testframe002@fra.me,eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbSI6ImRybXBlcmYtdnNpLXRlc3RmcmFtZTAwMkBmcmEubWUiLCJhdWQiOiJodHRwczovL2ZyYW1lLm51dGFuaXguY29tIiwiYXAiOiJmcmFtZS1wYXNzd29yZCIsImlzcyI6ImltZy1rZHMucHViIiwibG4iOiJUZXN0IiwianRpIjoxNTg1NjAxNCwiZXhwIjoxODc3OTM2OTAzLCJuYmYiOjE1NjI1NzY5MDMsImZuIjoiRnJhbWUiLCJzdWIiOiIxYzEwODVjNC0wMzkxLTQyOWQtYjcwYy05NTVkOGYxZGNhNTEifQ.wjvAtcyrfserGyxT1fCGuJPV3c8SA6xe5UYth8xJMkmSG5iH6YRo0PZLoLA8BGGcJ3TK9-sTh3GGmMzuit-l2Q
3,Loginvsi3,Password!,FRAME-0608191E,testframe003@fra.me,eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbSI6ImRybXBlcmYtdnNpLXRlc3RmcmFtZTAwM0BmcmEubWUiLCJhdWQiOiJodHRwczovL2ZyYW1lLm51dGFuaXguY29tIiwiYXAiOiJmcmFtZS1wYXNzd29yZCIsImlzcyI6ImltZy1rZHMucHViIiwibG4iOiJUZXN0IiwianRpIjoxNTg1NjAxNSwiZXhwIjoxODc3OTM2OTA0LCJuYmYiOjE1NjI1NzY5MDQsImZuIjoiRnJhbWUiLCJzdWIiOiI4ZTI2ZGRmYS1kMzllLTQwYjAtOTI5Yi1hNDQwNGYxZmM2N2UifQ.sjFDvs58OCSXM6Y6RWewJybBvBMQdxtCwF6TXI_Lwrv5p6doAFTVZOSc5k9R8q48_9QBovtA-ctkWjxN3DyDcg
4,Loginvsi4,Password!,FRAME-4487045A,testframe004@fra.me,eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbSI6ImRybXBlcmYtdnNpLXRlc3RmcmFtZTAwNEBmcmEubWUiLCJhdWQiOiJodHRwczovL2ZyYW1lLm51dGFuaXguY29tIiwiYXAiOiJmcmFtZS1wYXNzd29yZCIsImlzcyI6ImltZy1rZHMucHViIiwibG4iOiJUZXN0IiwianRpIjoxNTg1NjAxNiwiZXhwIjoxODc3OTM2OTA2LCJuYmYiOjE1NjI1NzY5MDYsImZuIjoiRnJhbWUiLCJzdWIiOiIzNjA2NDVkNC05NGMxLTQ4ZjAtYTA2Ni1iNjI5NTc3ZmZiZjAifQ.pzlfNLuyxkfhwMghUHvrV11XP6AqvHpPVsfRAt3KekO9jdM0WRcbrkqem9XNQMk_xnhvx2mZl9Z_Ac6ZOsX0ow
5,Loginvsi5,Password!,FRAME-81582607,testframe005@fra.me,eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbSI6ImRybXBlcmYtdnNpLXRlc3RmcmFtZTAwNUBmcmEubWUiLCJhdWQiOiJodHRwczovL2ZyYW1lLm51dGFuaXguY29tIiwiYXAiOiJmcmFtZS1wYXNzd29yZCIsImlzcyI6ImltZy1rZHMucHViIiwibG4iOiJUZXN0IiwianRpIjoxNTg1NjAxNywiZXhwIjoxODc3OTM2OTA3LCJuYmYiOjE1NjI1NzY5MDcsImZuIjoiRnJhbWUiLCJzdWIiOiJmZTkxMTU1Ni04NTEyLTRhYjMtYmQ1Mi1iMDM4ZWYwMWUxNjkifQ.2Re5zK1bfqvu5FpJXXuocOIgc86SKA6WfuQ9tjVCdp2zNKIRvCUUoe_1TvPuI8N6LvfFevW2d7gOcNNe2VSF3A
6,Loginvsi6,Password!,FRAME-E03BC2DB,testframe006@fra.me,eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbSI6ImRybXBlcmYtdnNpLXRlc3RmcmFtZTAwNkBmcmEubWUiLCJhdWQiOiJodHRwczovL2ZyYW1lLm51dGFuaXguY29tIiwiYXAiOiJmcmFtZS1wYXNzd29yZCIsImlzcyI6ImltZy1rZHMucHViIiwibG4iOiJUZXN0IiwianRpIjoxNTg1NjAxOCwiZXhwIjoxODc3OTM2OTA5LCJuYmYiOjE1NjI1NzY5MDksImZuIjoiRnJhbWUiLCJzdWIiOiIxYzQ2ZWNlNi03M2FhLTRiZDItYWMzZC1iZGI4ODNjNGYzNWUifQ.lRMpS3xKCyCR3pfoKm3TgvghnFXtcm-XqyMez1J2L5itfGWN4851-juPiEXXDOLV18POEQW9wPBspfUUZ1kzuA
7,Loginvsi7,Password!,FRAME-F63F799F,testframe007@fra.me,eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbSI6ImRybXBlcmYtdnNpLXRlc3RmcmFtZTAwN0BmcmEubWUiLCJhdWQiOiJodHRwczovL2ZyYW1lLm51dGFuaXguY29tIiwiYXAiOiJmcmFtZS1wYXNzd29yZCIsImlzcyI6ImltZy1rZHMucHViIiwibG4iOiJUZXN0IiwianRpIjoxNTg1NjAxOSwiZXhwIjoxODc3OTM2OTEwLCJuYmYiOjE1NjI1NzY5MTAsImZuIjoiRnJhbWUiLCJzdWIiOiIwMzllMmU5Ni0wMzA1LTQzMDctOTY0Yi1hZmVmZTRlN2IzN2EifQ.Vmp0XE1u7fP02anL5XJgCLUGAxk1vYoXqFTd56wcQnwJTCdZnjDnlKuW_QB2GJfPHdByzX8IRwUR0aO6evQjsw
8,Loginvsi8,Password!,FRAME-07D6CC59,testframe008@fra.me,eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbSI6ImRybXBlcmYtdnNpLXRlc3RmcmFtZTAwOEBmcmEubWUiLCJhdWQiOiJodHRwczovL2ZyYW1lLm51dGFuaXguY29tIiwiYXAiOiJmcmFtZS1wYXNzd29yZCIsImlzcyI6ImltZy1rZHMucHViIiwibG4iOiJUZXN0IiwianRpIjoxNTg1NjAyMCwiZXhwIjoxODc3OTM2OTEyLCJuYmYiOjE1NjI1NzY5MTIsImZuIjoiRnJhbWUiLCJzdWIiOiJiNmQ1NDIxYi05NmJjLTRhZjYtYWU2OC1mZGU1MmI3YTE5ZjEifQ.eenKiOJNSLSqLgOiV599UDtjiRI3GrQ-wvgOJORdbsgBVs8AKRfzB9eNqTEjzVNcNmK4hfavjwrekC3Mhn3w6g
9,Loginvsi9,Password!,FRAME-3FE2069B,testframe009@fra.me,eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbSI6ImRybXBlcmYtdnNpLXRlc3RmcmFtZTAwOUBmcmEubWUiLCJhdWQiOiJodHRwczovL2ZyYW1lLm51dGFuaXguY29tIiwiYXAiOiJmcmFtZS1wYXNzd29yZCIsImlzcyI6ImltZy1rZHMucHViIiwibG4iOiJUZXN0IiwianRpIjoxNTg1NjAyMSwiZXhwIjoxODc3OTM2OTEzLCJuYmYiOjE1NjI1NzY5MTMsImZuIjoiRnJhbWUiLCJzdWIiOiIwZDBiMWZiZS1jZjcwLTRhNzQtYWFjMC0yOGI5NjZmNTE2YTgifQ.TiYW2b5gvGBjJ6iCbta58QEdfpjyMYjFelf7VTTZDJUR6QbE2jIk15HTL7_M5b4or4ZYeBAAnrkyXIyik48rNA
10,Loginvsi10,Password!,FRAME-7D2BB12E,testframe010@fra.me,eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbSI6ImRybXBlcmYtdnNpLXRlc3RmcmFtZTAxMEBmcmEubWUiLCJhdWQiOiJodHRwczovL2ZyYW1lLm51dGFuaXguY29tIiwiYXAiOiJmcmFtZS1wYXNzd29yZCIsImlzcyI6ImltZy1rZHMucHViIiwibG4iOiJUZXN0IiwianRpIjoxNTg1NjAyMiwiZXhwIjoxODc3OTM2OTE1LCJuYmYiOjE1NjI1NzY5MTUsImZuIjoiRnJhbWUiLCJzdWIiOiJlY2YzMjA1MS1hNjFkLTRhYzUtYTQ5YS0yNjk3OWNjNWUzN2YifQ.GrAYPScdA0fbZPG2okKvqL-QauWjyZlxqac-Haz1fmUe_1V5IEdawjv_PH24vDrwVPBXHWh6Y1HWAxENcijN5w
